单号,area,weight,date,cp
YT6236279515034,北京 北京市 房山区,2.44,2022-1-5 16:50,TM-廊坊-菜鸟圆通
YT6236270395022,山西省 太原市 万柏林区,4.29,2022-1-5 16:50,TM-廊坊-菜鸟圆通
YT6236279514992,北京 北京市 昌平区,4.29,2022-1-5 16:50,TM-廊坊-菜鸟圆通
YT6236270394966,山西省 晋中市 榆次区,2.29,2022-1-5 16:50,TM-廊坊-菜鸟圆通
YT6236270394883,山西省 晋中市 榆次区,3.29,2022-1-5 16:50,TM-廊坊-菜鸟圆通
YT6236279514846,北京 北京市 房山区,2.44,2022-1-5 16:50,TM-廊坊-菜鸟圆通
YT9922844904700,北京 北京市 通州区,3.29,2022-1-5 15:52,DD-廊坊-多多圆通
YT9923038676302,天津 天津市 南开区,3.29,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923038866272,天津 天津市 南开区,3.29,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923038853467,北京 北京市 海淀区,3.29,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923038848381,北京 北京市 海淀区,3.29,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923038847052,北京 北京市 海淀区,3.29,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923038817043,北京 北京市 海淀区,3.29,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923038816846,北京 北京市 海淀区,3.29,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923038849969,北京 北京市 朝阳区,4.49,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923347951569,河北省 邢台市 信都区,2.2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923347954677,河北省 邢台市 信都区,2.2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923347963210,天津 天津市 南开区,2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923344715558,山西省 太原市 杏花岭区,0.9,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923344717618,山西省 太原市 杏花岭区,2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923344953950,山西省 长治市 武乡县,2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923344981375,山西省 长治市 武乡县,2.2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923344953056,河北省 廊坊市 大厂回族自治县,2.2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923344953550,河北省 廊坊市 大厂回族自治县,2.2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923344973794,山西省 运城市 闻喜县,2.1,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923345006651,河北省 邯郸市 曲周县,1,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923345001559,河北省 邯郸市 曲周县,2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923345015655,天津 天津市 滨海新区,2,2022-1-5 13:08,DD-廊坊-多多圆通
YT9923345031682,天津 天津市 河东区,0.6,2022-1-5 13:08,DD-廊坊-多多圆通
